id,naics,num_employees,lat,lon,size,GEOID
154962,32411010,50,42.003696,-87.9487,Medium,17031
175799,32411010,4,42.071133,-87.853447,Small,17031
206520,32411010,6,41.578701,-87.551781,Small,17031
217091,32411010,4,41.814697,-87.827324,Small,17031
300902,32411010,3,42.077564,-88.01799,Small,17031
93767,32412101,5,41.847717,-87.664124,Small,17031
112794,32412101,10,41.995739,-87.660622,Small,17031
112929,32412101,11,41.8354,-87.711601,Small,17031
117065,32412101,20,41.834797,-87.692444,Small,17031
120695,32412101,40,41.86673,-87.744133,Medium,17031
129028,32412101,20,41.639484,-87.725845,Small,17031
166769,32412101,15,41.946358,-87.888527,Small,17031
189806,32412101,100,41.777649,-87.859467,Large,17031
15538,32412103,4,42.00761,-88.255013,Small,17031
106377,32412103,7,41.822659,-87.655609,Small,17031
124430,32412103,10,41.710651,-87.783836,Small,17031
154501,32412103,10,42.025421,-87.961601,Small,17031
224624,32412103,150,41.783161,-87.847092,Large,17031
346852,32412103,12,41.734798,-87.8769,Small,17031
2866,32412202,10,41.672401,-87.727997,Small,17031
31034,32412202,5,41.81612,-87.857094,Small,17031
113531,32412202,12,41.835815,-87.670181,Small,17031
110759,32419105,10,41.814823,-87.730377,Small,17031
183292,32419105,150,41.580463,-87.642494,Large,17031
185287,32419105,60,41.714329,-87.815674,Medium,17031
93278,32419106,5,41.809361,-87.628296,Small,17031
121673,32419106,60,41.771202,-87.797493,Medium,17031
125589,32419106,200,41.817062,-87.748672,Large,17031
309543,32419902,17,41.946354,-87.857124,Small,17031
2960,32512001,60,41.657894,-87.737991,Medium,17031
102155,32512001,5,41.940067,-87.698868,Small,17031
124438,32512001,12,41.705776,-87.790466,Small,17031
153180,32512001,2,42.013618,-87.969673,Small,17031
185239,32512001,8,41.712994,-87.810394,Small,17031
155028,32513002,78,41.997826,-87.947159,Medium,17031
123237,32513003,400,41.868259,-87.726532,Large,17031
6305,32513005,2,42.034657,-87.946861,Small,17031
287981,32513005,62,41.624168,-87.683289,Medium,17031
166830,32513008,27,41.939426,-87.909645,Medium,17031
69369,32518017,3,41.825584,-87.655197,Small,17031
86863,32518017,4,41.95808,-87.720047,Small,17031
110808,32518017,10,41.808899,-87.709198,Small,17031
124058,32518017,42,41.511532,-87.617271,Medium,17031
271421,32518017,15,42.14743,-88.025826,Small,17031
301344,32518017,15,42.092636,-88.032265,Small,17031
346504,32518017,15,42.131699,-87.92733,Small,17031
272618,32518023,11,41.675537,-87.81102,Small,17031
102477,32519401,6,41.903019,-87.654053,Small,17031
308663,32519902,15,42.063488,-88.042427,Small,17031
115218,32519903,15,41.820988,-87.641472,Small,17031
154885,32519903,30,42.005543,-87.958023,Medium,17031
303573,32519903,90,41.999374,-87.88726,Medium,17031
118844,32519906,25,41.880615,-87.65554,Medium,17031
118771,32519907,25,41.878441,-87.634094,Medium,17031
114085,32521101,12,41.772408,-87.747986,Small,17031
119719,32521101,30,41.895351,-87.671165,Medium,17031
154270,32521102,6,42.006615,-87.942375,Small,17031
166766,32521102,14,41.93158,-87.890388,Small,17031
314401,32521103,30,42.027184,-87.722488,Medium,17031
59555,32521104,2,41.887524,-87.639511,Small,17031
69401,32521104,3,41.934536,-87.727188,Small,17031
116862,32521104,19,41.913742,-87.749672,Small,17031
139596,32521104,11,42.016491,-87.918457,Small,17031
139597,32521104,11,42.016491,-87.918457,Small,17031
154605,32521104,11,42.004318,-87.973991,Small,17031
191224,32521104,10,42.060627,-88.139847,Small,17031
346849,32521104,11,41.73859,-87.884048,Small,17031
30731,32521105,5,41.868984,-87.866089,Small,17031
30824,32521105,30,41.85194,-87.860489,Medium,17031
34842,32521105,12,41.6152,-87.551598,Small,17031
34917,32521105,60,41.636932,-87.567703,Medium,17031
110848,32521105,10,41.973263,-87.708267,Small,17031
139893,32521105,120,42.015606,-87.88443,Large,17031
154765,32521105,20,42.004452,-87.965157,Small,17031
155027,32521105,78,41.994133,-87.944199,Medium,17031
155037,32521105,80,41.994133,-87.944199,Medium,17031
176415,32521105,12,42.090473,-87.784309,Small,17031
253813,32521105,86,42.144016,-87.796898,Medium,17031
253827,32521105,100,42.144016,-87.796898,Large,17031
307950,32521105,6,42.048397,-88.032051,Small,17031
316160,32521105,12,41.587742,-87.629669,Small,17031
346128,32521105,4,42.125511,-87.931175,Small,17031
347536,32521105,1,42.080044,-87.72953,Small,17031
2969,32521107,100,41.66713,-87.720818,Large,17031
224618,32521107,41,41.805992,-87.816963,Medium,17031
86249,32521108,4,41.805836,-87.708549,Small,17031
87936,32522004,4,41.872421,-87.681381,Small,17031
121554,32531102,55,41.88522,-87.621521,Medium,17031
153770,32531102,4,42.013187,-87.969666,Small,17031
253314,32531102,9,42.131897,-87.786568,Small,17031
253336,32531102,9,42.131897,-87.786568,Small,17031
253844,32531102,200,42.131897,-87.786568,Large,17031
15786,32531401,22,41.989094,-88.178383,Small,17031
32410,32531404,25,42.152679,-87.975632,Medium,17031
62966,32541101,2,42.009003,-87.782738,Small,17031
124453,32541101,14,41.715286,-87.782539,Small,17031
253536,32541101,14,42.152336,-87.803215,Small,17031
268036,32541101,14,41.619869,-87.847816,Small,17031
308626,32541101,14,42.046402,-88.037567,Small,17031
160801,32541102,7,42.03447,-87.705086,Small,17031
112245,32541202,10,41.904884,-87.710938,Small,17031
112539,32541202,10,41.880901,-87.628998,Small,17031
270715,32541202,4,42.121483,-88.038902,Small,17031
2589,32541203,2,41.670605,-87.747299,Small,17031
112476,32541206,10,41.885384,-87.632988,Small,17031
